yyyy,mo,dd,hh,mm,Date,Transp_av,Transp_min,Transp_max
2016,6,17,0,0,17.6.2016,0.077780661,0.058688964,0.096872358
2016,6,18,0,0,18.6.2016,0.162365524,0.120107895,0.204623154
2016,6,19,0,0,19.6.2016,0.144934683,0.119803949,0.170065417
2016,6,20,0,0,20.6.2016,1.115713526,0.911472621,1.319954431
2016,6,21,0,0,21.6.2016,0.214616851,0.179621554,0.249612147
2016,6,22,0,0,22.6.2016,1.304975633,1.073975831,1.535975436
2016,6,23,0,0,23.6.2016,0.94914541,0.806335035,1.091955786
2016,6,24,0,0,24.6.2016,0.742712579,0.620774917,0.864650242
2016,6,25,0,0,25.6.2016,0.578081544,0.464606674,0.691556414
2016,6,26,0,0,26.6.2016,1.140282683,0.945692942,1.334872424
2016,6,27,0,0,27.6.2016,0.268634317,0.222677091,0.314591544
2016,6,28,0,0,28.6.2016,0.976157528,0.798928661,1.153386395
2016,6,29,0,0,29.6.2016,1.22681364,1.013054846,1.440572435
2016,6,30,0,0,30.6.2016,0.920395334,0.766476304,1.074314363
2016,7,1,0,0,1.7.2016,0.874893045,0.724586743,1.025199348
2016,7,2,0,0,2.7.2016,0.297078062,0.239774499,0.354381626
2016,7,3,0,0,3.7.2016,0.975299717,0.795959269,1.154640165
2016,7,4,0,0,4.7.2016,1.285498952,1.051909642,1.519088261
2016,7,5,0,0,5.7.2016,1.014983422,0.825723404,1.204243439
2016,7,6,0,0,6.7.2016,0.953899113,0.781273481,1.126524746
2016,7,7,0,0,7.7.2016,0.837914767,0.681858001,0.993971534
2016,7,8,0,0,8.7.2016,0.131219732,0.108707438,0.153732026
2016,7,9,0,0,9.7.2016,0.759604351,0.623369353,0.895839349
2016,7,10,0,0,10.7.2016,1.123640718,0.929870132,1.317411304
2016,7,11,0,0,11.7.2016,1.427731851,1.160845959,1.694617743
2016,7,12,0,0,12.7.2016,1.292651085,1.067814457,1.517487712
2016,7,13,0,0,13.7.2016,1.151359049,0.95321316,1.349504938
2016,7,14,0,0,14.7.2016,0.849106756,0.703918932,0.99429458
2016,7,15,0,0,15.7.2016,0.735908131,0.607012996,0.864803266
2016,7,16,0,0,16.7.2016,1.047530721,0.863773637,1.231287805
2016,7,17,0,0,17.7.2016,1.171589185,0.964857353,1.378321017
2016,7,18,0,0,18.7.2016,1.540062861,1.279046563,1.801079158
2016,7,19,0,0,19.7.2016,1.688747842,1.397422245,1.980073438
2016,7,20,0,0,20.7.2016,1.779575038,1.50377953,2.055370545
2016,7,21,0,0,21.7.2016,1.743633989,1.475229284,2.012038694
2016,7,22,0,0,22.7.2016,1.716845419,1.448334072,1.985356766
2016,7,23,0,0,23.7.2016,1.919524483,1.63528634,2.203762625
2016,7,24,0,0,24.7.2016,1.975267812,1.654552682,2.295982942
2016,7,25,0,0,25.7.2016,1.744890424,1.441346025,2.048434824
2016,7,26,0,0,26.7.2016,1.448135218,1.166417535,1.729852902
2016,7,27,0,0,27.7.2016,1.263324244,1.071689889,1.454958599
2016,7,28,0,0,28.7.2016,1.392173044,1.192626944,1.591719143
2016,7,29,0,0,29.7.2016,0.572780792,0.490241941,0.655319643
2016,7,30,0,0,30.7.2016,1.284599963,1.074022311,1.495177616
2016,7,31,0,0,31.7.2016,0.981061233,0.838943998,1.123178468
2016,8,1,0,0,1.8.2016,1.504000259,1.281680014,1.726320504
2016,8,2,0,0,2.8.2016,0.990088376,0.854951152,1.1252256
2016,8,3,0,0,3.8.2016,1.322090247,1.112302466,1.531878027
2016,8,4,0,0,4.8.2016,1.245353259,1.059193319,1.4315132
2016,8,5,0,0,5.8.2016,1.464347231,1.268184066,1.660510396
2016,8,6,0,0,6.8.2016,0.33872843,0.281160541,0.396296318
2016,8,7,0,0,7.8.2016,1.465224475,1.237036424,1.693412525
2016,8,8,0,0,8.8.2016,0.834651196,0.715047119,0.954255273
2016,8,9,0,0,9.8.2016,0.548760492,0.474194344,0.623326639
2016,8,10,0,0,10.8.2016,0.542860035,0.461432222,0.624287848
2016,8,11,0,0,11.8.2016,0.788128103,0.657484445,0.918771761
2016,8,12,0,0,12.8.2016,1.357967417,1.124737084,1.59119775
2016,8,13,0,0,13.8.2016,0.227251551,0.181867743,0.27263536
2016,8,14,0,0,14.8.2016,0.459203305,0.382100322,0.536306288
2016,8,15,0,0,15.8.2016,1.014547343,0.841119157,1.187975529
2016,8,16,0,0,16.8.2016,1.330920908,1.068900705,1.592941112
2016,8,17,0,0,17.8.2016,0.364238179,0.305239605,0.423236754
2016,8,18,0,0,18.8.2016,0.542376507,0.468956942,0.615796072
2016,8,19,0,0,19.8.2016,0.166969223,0.143444398,0.190494048
2016,8,20,0,0,20.8.2016,0.251672365,0.209155854,0.294188876
2016,8,21,0,0,21.8.2016,0.300461346,0.259362546,0.341560147
2016,8,22,0,0,22.8.2016,0.26412434,0.213173533,0.315075147
2016,8,23,0,0,23.8.2016,0.939053859,0.784288942,1.093818776
2016,8,24,0,0,24.8.2016,0.998752484,0.850310186,1.147194781
2016,8,25,0,0,25.8.2016,0.931470978,0.79209317,1.070848786
2016,8,26,0,0,26.8.2016,1.020482317,0.856146221,1.184818413
2016,8,27,0,0,27.8.2016,0.204140347,0.173434329,0.234846366
2016,8,28,0,0,28.8.2016,0.984926713,0.816753954,1.153099472
2016,8,29,0,0,29.8.2016,1.082860603,0.903933879,1.261787327
2016,8,30,0,0,30.8.2016,0.966618179,0.822787273,1.110449085
2016,8,31,0,0,31.8.2016,0.834475424,0.71656419,0.952386657
2016,9,1,0,0,1.9.2016,0.985128875,0.814182808,1.156074942
2016,9,2,0,0,2.9.2016,0.839696242,0.70274387,0.976648613
2016,9,3,0,0,3.9.2016,1.02507665,0.866922688,1.183230611
2016,9,4,0,0,4.9.2016,0.746462073,0.635375445,0.857548701
2016,9,5,0,0,5.9.2016,0.987054051,0.828579037,1.145529064
2016,9,6,0,0,6.9.2016,0.335938971,0.292214418,0.379663524
2016,9,7,0,0,7.9.2016,0.975504654,0.807732543,1.143276766
2016,9,8,0,0,8.9.2016,0.96083991,0.787697407,1.133982414
2016,9,9,0,0,9.9.2016,0.247115615,0.215021418,0.279209811
2016,9,10,0,0,10.9.2016,0.091632815,0.075405013,0.107860616
2016,9,11,0,0,11.9.2016,0.167437304,0.140921316,0.193953292
2016,9,12,0,0,12.9.2016,0.852637042,0.71461053,0.990663554
2016,9,13,0,0,13.9.2016,1.122982596,0.919579188,1.326386005
2016,9,14,0,0,14.9.2016,0.880521858,0.726257913,1.034785802
2016,9,15,0,0,15.9.2016,0.774203268,0.667849115,0.880557422
2016,9,16,0,0,16.9.2016,0.747590665,0.644118152,0.851063177
2016,9,17,0,0,17.9.2016,0.63407077,0.553767095,0.714374444
2016,9,18,0,0,18.9.2016,0.882165789,0.768042056,0.996289521
2016,9,19,0,0,19.9.2016,0.789969722,0.687297727,0.892641717
2016,9,20,0,0,20.9.2016,0.199225514,0.172704662,0.225746366
2016,9,21,0,0,21.9.2016,0.148370354,0.128839817,0.167900892
2016,9,22,0,0,22.9.2016,0.135115151,0.11596453,0.154265772
2016,9,23,0,0,23.9.2016,0.255868979,0.221867028,0.28987093
2016,9,24,0,0,24.9.2016,0.419908256,0.365216413,0.474600098
2016,9,25,0,0,25.9.2016,0.244867203,0.211422612,0.278311794
2016,9,26,0,0,26.9.2016,0.188564876,0.165320778,0.211808975
2016,9,27,0,0,27.9.2016,0.10421629,0.082806728,0.125625852
2016,9,28,0,0,28.9.2016,0.218651962,0.174706641,0.262597282
2016,9,29,0,0,29.9.2016,0.228541088,0.181153973,0.275928203
2016,9,30,0,0,30.9.2016,0.422978551,0.356586969,0.489370134
2016,10,1,0,0,1.10.2016,0.677674265,0.579906094,0.775442436
2016,10,2,0,0,2.10.2016,0.475953564,0.406751768,0.54515536
2016,10,3,0,0,3.10.2016,0.374518536,0.324013508,0.425023564
2016,10,4,0,0,4.10.2016,0.395439572,0.339547388,0.451331757
2016,10,5,0,0,5.10.2016,0.421506056,0.342528743,0.500483369
2016,10,6,0,0,6.10.2016,0.284378913,0.23546829,0.333289536
2016,10,7,0,0,7.10.2016,0.266448159,0.217731631,0.315164686
2016,10,8,0,0,8.10.2016,0.177752182,0.153315656,0.202188709
2016,10,9,0,0,9.10.2016,0.086821395,0.075187512,0.098455277
2016,10,10,0,0,10.10.2016,0.170922801,0.149014689,0.192830914
2016,10,11,0,0,11.10.2016,0.108467388,0.090425648,0.126509127
2016,10,12,0,0,12.10.2016,0.219332637,0.189611986,0.249053288
2016,10,13,0,0,13.10.2016,0.106578406,0.075828437,0.137328375
2016,10,14,0,0,14.10.2016,0.207768671,0.168810439,0.246726903
2016,10,15,0,0,15.10.2016,0.137552184,0.112778581,0.162325787
2016,10,16,0,0,16.10.2016,0.107182382,0.09162232,0.122742444
2016,10,17,0,0,17.10.2016,0.103377082,0.084595002,0.122159162
2016,10,18,0,0,18.10.2016,0.250779683,0.217313258,0.284246107
2016,10,19,0,0,19.10.2016,0.127104527,0.111087042,0.143122013
2016,10,20,0,0,20.10.2016,0.096414227,0.074471393,0.11835706
2016,10,21,0,0,21.10.2016,0.065901066,0.055851702,0.07595043
2016,10,22,0,0,22.10.2016,0.087920213,0.075339383,0.100501044
2016,10,23,0,0,23.10.2016,0.103376783,0.083890381,0.122863185
2016,10,24,0,0,24.10.2016,0.063820629,0.051714216,0.075927042
2016,10,25,0,0,25.10.2016,0.038000973,0.02996204,0.046039906
2016,10,26,0,0,26.10.2016,0.04092551,0.032153167,0.049697853
2016,10,27,0,0,27.10.2016,0.094952754,0.079209489,0.110696019
2016,10,28,0,0,28.10.2016,0.074295607,0.060823751,0.087767462
2016,10,29,0,0,29.10.2016,0.075138591,0.064557585,0.085719596
2016,10,30,0,0,30.10.2016,0.092093439,0.079066358,0.105120521
2016,10,31,0,0,31.10.2016,0.135108016,0.117416767,0.152799265
2016,11,1,0,0,1.11.2016,0.097708444,0.081324008,0.114092881
2016,11,2,0,0,2.11.2016,0.095036611,0.07879247,0.111280752
2016,11,3,0,0,3.11.2016,0.087696983,0.076069217,0.099324749
2016,11,4,0,0,4.11.2016,0.142612632,0.123705121,0.161520143
2016,11,5,0,0,5.11.2016,0.36180518,0.317148778,0.406461582
2016,11,6,0,0,6.11.2016,0.242425674,0.210391103,0.274460246
2016,11,7,0,0,7.11.2016,0.173454394,0.149134092,0.197774696
2016,11,8,0,0,8.11.2016,0.114760029,0.092955171,0.136564886
2016,11,9,0,0,9.11.2016,0.059875822,0.044727701,0.075023943
2016,11,10,0,0,10.11.2016,0.078466809,0.065729946,0.091203672
2016,11,11,0,0,11.11.2016,0.047473611,0.040823364,0.054123859
2016,11,12,0,0,12.11.2016,0.079820727,0.064885961,0.094755493
2016,11,13,0,0,13.11.2016,0.111627359,0.088863969,0.134390749
2016,11,14,0,0,14.11.2016,0.056087091,0.04917971,0.062994473
2016,11,15,0,0,15.11.2016,0.066699864,0.040590987,0.092808741
2016,11,16,0,0,16.11.2016,0.038855138,0.029596871,0.048113404
2016,11,17,0,0,17.11.2016,0.088083201,0.069196404,0.106969998
2016,11,18,0,0,18.11.2016,0.112866724,0.096867537,0.128865911
2016,11,19,0,0,19.11.2016,0.044910864,0.036897276,0.052924453
2016,11,20,0,0,20.11.2016,0.032285912,0.025524289,0.039047534
2016,11,21,0,0,21.11.2016,0.114269855,0.073142602,0.155397109
2016,11,22,0,0,22.11.2016,0.170194367,0.130134042,0.210254692
2016,11,23,0,0,23.11.2016,0.085266751,0.073519387,0.097014114
2016,11,24,0,0,24.11.2016,0.45030323,0.385242984,0.515363476
2016,11,25,0,0,25.11.2016,0.286069955,0.250296236,0.321843674
2016,11,26,0,0,26.11.2016,0.382959885,0.324930697,0.440989073
2016,11,27,0,0,27.11.2016,0.200760154,0.175294361,0.226225947
2016,11,28,0,0,28.11.2016,0.378124289,0.32303234,0.433216237
2016,11,29,0,0,29.11.2016,0.214793852,0.164353549,0.265234155
2016,11,30,0,0,30.11.2016,0.145400735,0.119936267,0.170865202
2016,12,1,0,0,1.12.2016,0.252933564,0.200405207,0.30546192
2016,12,2,0,0,2.12.2016,0.034184206,0.027098405,0.041270006
2016,12,3,0,0,3.12.2016,0.10139752,0.077982129,0.12481291
2016,12,4,0,0,4.12.2016,0.266425451,0.209095235,0.323755667
2016,12,5,0,0,5.12.2016,0.247229664,0.214382073,0.280077256
2016,12,6,0,0,6.12.2016,0.430629829,0.372243554,0.489016104
2016,12,7,0,0,7.12.2016,0.208281713,0.163207193,0.253356232
2016,12,8,0,0,8.12.2016,0.105849379,0.092988209,0.118710548
2016,12,9,0,0,9.12.2016,0.094649367,0.074953734,0.114344999
2016,12,10,0,0,10.12.2016,0.389988443,0.31913686,0.460840026
2016,12,11,0,0,11.12.2016,0.089594163,0.062131187,0.117057139
2016,12,12,0,0,12.12.2016,0.126839,0.101511984,0.152166017
2016,12,13,0,0,13.12.2016,0.125170502,0.108171016,0.142169988
2016,12,14,0,0,14.12.2016,0.125374567,0.097214323,0.153534811
2016,12,15,0,0,15.12.2016,0.112074242,0.093455458,0.130693027
2016,12,16,0,0,16.12.2016,0.104904603,0.082571721,0.127237484
2016,12,17,0,0,17.12.2016,0.066904314,0.04764056,0.086168067
2016,12,18,0,0,18.12.2016,0.061133703,0.052357626,0.069909781
2016,12,19,0,0,19.12.2016,0.120592971,0.086451901,0.154734041
2016,12,20,0,0,20.12.2016,0.059758175,0.046589007,0.072927343
2016,12,21,0,0,21.12.2016,0.1147564,0.093399276,0.136113524
2016,12,22,0,0,22.12.2016,0.202403188,0.150283557,0.254522819
2016,12,23,0,0,23.12.2016,0.179373058,0.15455287,0.204193246
2016,12,24,0,0,24.12.2016,0.70372456,0.579769097,0.827680022
2016,12,25,0,0,25.12.2016,0.188998914,0.144980311,0.233017517
2016,12,26,0,0,26.12.2016,0.258444729,0.22143842,0.295451038
2016,12,27,0,0,27.12.2016,0.284714244,0.23627855,0.333149939
2016,12,28,0,0,28.12.2016,0.070816153,0.053737098,0.087895208
2016,12,29,0,0,29.12.2016,0.105367319,0.091251116,0.119483521
2016,12,30,0,0,30.12.2016,0.11419211,0.096017284,0.132366935
2016,12,31,0,0,31.12.2016,0.06596147,0.051568894,0.080354046
2017,1,1,0,0,1.1.2017,0.20761909,0.180629409,0.23460877
2017,1,2,0,0,2.1.2017,0.3613381,0.308458427,0.414217773
2017,1,3,0,0,3.1.2017,0.161498351,0.117542673,0.205454029
2017,1,4,0,0,4.1.2017,0.063890464,0.048272665,0.079508263
2017,1,5,0,0,5.1.2017,0.094094292,0.065075805,0.123112778
2017,1,6,0,0,6.1.2017,0.263472645,0.20777322,0.31917207
2017,1,7,0,0,7.1.2017,0.141155384,0.114853917,0.167456852
2017,1,8,0,0,8.1.2017,0.222522594,0.182569252,0.262475936
2017,1,9,0,0,9.1.2017,0.118979257,0.092824438,0.145134076
2017,1,10,0,0,10.1.2017,0.065403441,0.054822284,0.075984597
2017,1,11,0,0,11.1.2017,0.131071582,0.115687118,0.146456047
2017,1,12,0,0,12.1.2017,0.084006618,0.07283683,0.095176406
2017,1,13,0,0,13.1.2017,0.094785816,0.080961513,0.108610119
2017,1,14,0,0,14.1.2017,0.352730393,0.269689761,0.435771026
2017,1,15,0,0,15.1.2017,0.139790252,0.107979179,0.171601326
2017,1,16,0,0,16.1.2017,0.065278127,0.049338106,0.081218148
2017,1,17,0,0,17.1.2017,0.144815694,0.117744539,0.17188685
2017,1,18,0,0,18.1.2017,0.081018215,0.062348464,0.099687966
2017,1,19,0,0,19.1.2017,0.344089529,0.296213603,0.391965455
2017,1,20,0,0,20.1.2017,0.250595556,0.218102348,0.283088765
2017,1,21,0,0,21.1.2017,0.1865933,0.152104136,0.221082464
2017,1,22,0,0,22.1.2017,0.209160595,0.174493153,0.243828037
2017,1,23,0,0,23.1.2017,0.159370253,0.129248201,0.189492304
2017,1,24,0,0,24.1.2017,0.129970106,0.108667689,0.151272524
2017,1,25,0,0,25.1.2017,0.389379163,0.310217272,0.468541054
2017,1,26,0,0,26.1.2017,0.183926067,0.143737309,0.224114825
2017,1,27,0,0,27.1.2017,0.085310988,0.072423956,0.09819802
2017,1,28,0,0,28.1.2017,0.180520307,0.139274001,0.221766613
2017,1,29,0,0,29.1.2017,0.289665589,0.241275944,0.338055234
2017,1,30,0,0,30.1.2017,0.170169044,0.135924446,0.204413643
