yyyy,mo,dd,hh,mm,Date,Transp_av,Transp_min,Transp_max
2017,1,31,0,0,31.1.2017,0.089401255,0.071117098,0.107685412
2017,2,1,0,0,1.2.2017,0.186201521,0.154468352,0.21793469
2017,2,2,0,0,2.2.2017,0.026677256,0.022873297,0.030481215
2017,2,3,0,0,3.2.2017,0.054801489,0.044878631,0.064724348
2017,2,4,0,0,4.2.2017,0.032201673,0.024433133,0.039970214
2017,2,5,0,0,5.2.2017,0.067960421,0.058814327,0.077106515
2017,2,6,0,0,6.2.2017,0.055049549,0.045110481,0.064988617
2017,2,7,0,0,7.2.2017,0.059390665,0.044984573,0.073796756
2017,2,8,0,0,8.2.2017,0.148560827,0.116444995,0.180676659
2017,2,9,0,0,9.2.2017,0.103327139,0.082264914,0.124389364
2017,2,10,0,0,10.2.2017,0.083839084,0.060087758,0.10759041
2017,2,11,0,0,11.2.2017,0.144503498,0.117638422,0.171368574
2017,2,12,0,0,12.2.2017,0.127599625,0.102194326,0.153004923
2017,2,13,0,0,13.2.2017,0.070776007,0.051882986,0.089669028
2017,2,14,0,0,14.2.2017,0.012661635,0.010797708,0.014525562
2017,2,15,0,0,15.2.2017,0.086344589,0.074853708,0.09783547
2017,2,16,0,0,16.2.2017,0.074070513,0.063292564,0.084848462
2017,2,17,0,0,17.2.2017,0.150256497,0.107289941,0.193223052
2017,2,18,0,0,18.2.2017,0.053450017,0.040167046,0.066732988
2017,2,19,0,0,19.2.2017,0.300021605,0.249848981,0.35019423
2017,2,20,0,0,20.2.2017,0.254253542,0.210305482,0.298201602
2017,2,21,0,0,21.2.2017,0.360451879,0.28836335,0.432540407
2017,2,22,0,0,22.2.2017,0.291730693,0.244230715,0.33923067
2017,2,23,0,0,23.2.2017,0.037854207,0.031745359,0.043963054
2017,2,24,0,0,24.2.2017,0.148442469,0.121515335,0.175369603
2017,2,25,0,0,25.2.2017,0.16114818,0.132945953,0.189350406
2017,2,26,0,0,26.2.2017,0.177910998,0.140910797,0.2149112
2017,2,27,0,0,27.2.2017,0.152741532,0.129023398,0.176459666
2017,2,28,0,0,28.2.2017,0.107853251,0.089782593,0.125923909
2017,3,1,0,0,1.3.2017,0.026515542,0.021479567,0.031551516
2017,3,2,0,0,2.3.2017,0.069070057,0.055416332,0.082723781
2017,3,3,0,0,3.3.2017,0.100839664,0.081497135,0.120182193
2017,3,4,0,0,4.3.2017,0.276500655,0.235085438,0.317915871
2017,3,5,0,0,5.3.2017,0.23000157,0.190750826,0.269252313
2017,3,6,0,0,6.3.2017,0.252206564,0.209568296,0.294844833
2017,3,7,0,0,7.3.2017,0.203929347,0.163172481,0.244686213
2017,3,8,0,0,8.3.2017,0.126037151,0.102527989,0.149546313
2017,3,9,0,0,9.3.2017,0.305487497,0.257796825,0.353178169
2017,3,10,0,0,10.3.2017,0.099595895,0.079018789,0.120173001
2017,3,11,0,0,11.3.2017,0.463248019,0.393662983,0.532833055
2017,3,12,0,0,12.3.2017,0.435339423,0.352679978,0.517998869
2017,3,13,0,0,13.3.2017,0.207334106,0.160459107,0.254209104
2017,3,14,0,0,14.3.2017,0.050282704,0.042741292,0.057824115
2017,3,15,0,0,15.3.2017,0.038283248,0.031860441,0.044706054
2017,3,16,0,0,16.3.2017,0.056465971,0.0468144,0.066117542
2017,3,17,0,0,17.3.2017,0.033083407,0.027942444,0.03822437
2017,3,18,0,0,18.3.2017,0.094852975,0.080783325,0.108922625
2017,3,19,0,0,19.3.2017,0.29006738,0.239991761,0.340143
2017,3,20,0,0,20.3.2017,0.237679886,0.206794457,0.268565315
2017,3,21,0,0,21.3.2017,0.072896241,0.057247976,0.088544507
2017,3,22,0,0,22.3.2017,0.062790014,0.04375998,0.081820049
2017,3,23,0,0,23.3.2017,0.19704568,0.159529624,0.234561736
2017,3,24,0,0,24.3.2017,0.207022096,0.171836685,0.242207506
2017,3,25,0,0,25.3.2017,0.08358971,0.051719415,0.115460005
2017,3,26,0,0,26.3.2017,0,0,0
2017,3,27,0,0,27.3.2017,0.160273853,0.139776976,0.18077073
2017,3,28,0,0,28.3.2017,0.152447615,0.133949799,0.170945432
2017,3,29,0,0,29.3.2017,0.218802732,0.190725893,0.246879571
2017,3,30,0,0,30.3.2017,0.368783513,0.317499675,0.42006735
2017,3,31,0,0,31.3.2017,0.328692578,0.28620307,0.371182087
2017,4,1,0,0,1.4.2017,0.093966432,0.075887726,0.112045139
2017,4,2,0,0,2.4.2017,0.223752129,0.189100215,0.258404042
2017,4,3,0,0,3.4.2017,0.38732239,0.337413454,0.437231326
2017,4,4,0,0,4.4.2017,0.078183926,0.065767038,0.090600815
2017,4,5,0,0,5.4.2017,0.108833752,0.094171757,0.123495748
2017,4,6,0,0,6.4.2017,0.173119561,0.150953977,0.195285145
2017,4,7,0,0,7.4.2017,0.194285205,0.160046436,0.228523974
2017,4,8,0,0,8.4.2017,0.189189884,0.162486213,0.215893555
2017,4,9,0,0,9.4.2017,0.112285167,0.095202395,0.129367939
2017,4,10,0,0,10.4.2017,0.079405855,0.062816406,0.095995305
2017,4,11,0,0,11.4.2017,0.195455875,0.1527167,0.238195051
2017,4,12,0,0,12.4.2017,0.047894002,0.039252713,0.056535291
2017,4,13,0,0,13.4.2017,0.514962683,0.447672515,0.582252851
2017,4,14,0,0,14.4.2017,0.590307513,0.511936731,0.668678296
2017,4,15,0,0,15.4.2017,0.545345494,0.475069512,0.615621476
2017,4,16,0,0,16.4.2017,0.737009906,0.640968267,0.833051546
2017,4,17,0,0,17.4.2017,0.623869383,0.539889359,0.707849408
2017,4,18,0,0,18.4.2017,1.175018749,1.023745084,1.326292413
2017,4,19,0,0,19.4.2017,0.421755726,0.354392052,0.489119399
2017,4,20,0,0,20.4.2017,0.11293989,0.098361958,0.127517822
2017,4,21,0,0,21.4.2017,0.116441619,0.099535632,0.133347606
2017,4,22,0,0,22.4.2017,0.12985389,0.111320337,0.148387442
2017,4,23,0,0,23.4.2017,0.14084951,0.117265385,0.164433635
2017,4,24,0,0,24.4.2017,0.227351103,0.198589976,0.256112229
2017,4,25,0,0,25.4.2017,0.27587839,0.233601215,0.318155565
2017,4,26,0,0,26.4.2017,0.239056898,0.207578671,0.270535124
2017,4,27,0,0,27.4.2017,0.160270717,0.135745056,0.184796377
2017,4,28,0,0,28.4.2017,0.24870357,0.207251618,0.290155521
2017,4,29,0,0,29.4.2017,0.244036793,0.195110444,0.292963143
2017,4,30,0,0,30.4.2017,0.158183396,0.137759164,0.178607629
2017,5,1,0,0,1.5.2017,0.287385847,0.23962243,0.335149264
2017,5,2,0,0,2.5.2017,0.336380561,0.286729131,0.386031992
2017,5,3,0,0,3.5.2017,0.400500648,0.348094259,0.452907036
2017,5,4,0,0,4.5.2017,0.438314946,0.377219483,0.499410408
2017,5,5,0,0,5.5.2017,0.558219514,0.485886131,0.630552898
2017,5,6,0,0,6.5.2017,0.421497985,0.357552541,0.485443428
2017,5,7,0,0,7.5.2017,0.12296681,0.104285166,0.141648454
2017,5,8,0,0,8.5.2017,0.306225777,0.253118962,0.359332592
2017,5,9,0,0,9.5.2017,0.154035085,0.133051389,0.175018781
2017,5,10,0,0,10.5.2017,0.143024531,0.113172104,0.172876958
2017,5,11,0,0,11.5.2017,0.264099994,0.223343916,0.304856072
2017,5,12,0,0,12.5.2017,0.234283471,0.198773057,0.269793884
2017,5,13,0,0,13.5.2017,0.22841762,0.190659156,0.266176084
2017,5,14,0,0,14.5.2017,0.385305465,0.333947678,0.436663251
2017,5,15,0,0,15.5.2017,0.549730321,0.477132596,0.622328047
2017,5,16,0,0,16.5.2017,0.635293846,0.551960076,0.718627617
2017,5,17,0,0,17.5.2017,0.403396065,0.350098506,0.456693624
2017,5,18,0,0,18.5.2017,0.52148306,0.449310232,0.593655888
2017,5,19,0,0,19.5.2017,0.650091225,0.563805009,0.736377442
2017,5,20,0,0,20.5.2017,0.934620148,0.794012771,1.075227525
2017,5,21,0,0,21.5.2017,1.070219192,0.916067597,1.224370788
2017,5,22,0,0,22.5.2017,0.988726003,0.846600388,1.130851619
2017,5,23,0,0,23.5.2017,0.900805219,0.760313555,1.041296884
2017,5,24,0,0,24.5.2017,0.991890938,0.839049818,1.144732058
2017,5,25,0,0,25.5.2017,0.77448655,0.641586312,0.907386788
2017,5,26,0,0,26.5.2017,0.830973177,0.674585705,0.987360649
2017,5,27,0,0,27.5.2017,0.293503276,0.23851976,0.348486792
2017,5,28,0,0,28.5.2017,0.537049102,0.434033567,0.640064637
2017,5,29,0,0,29.5.2017,0.793988464,0.646585301,0.941391627
2017,5,30,0,0,30.5.2017,0.973188379,0.792510743,1.153866015
2017,5,31,0,0,31.5.2017,0.72048721,0.58634887,0.85462555
2017,6,1,0,0,1.6.2017,0.481478893,0.382685476,0.580272311
2017,6,2,0,0,2.6.2017,0.862316937,0.690171878,1.034461997
2017,6,3,0,0,3.6.2017,1.017539534,0.829264734,1.205814335
2017,6,4,0,0,4.6.2017,0.616687541,0.499080842,0.734294241
2017,6,5,0,0,5.6.2017,0.238938164,0.198011045,0.279865284
2017,6,6,0,0,6.6.2017,0.759174612,0.602418572,0.915930652
2017,6,7,0,0,7.6.2017,0.860486935,0.673806682,1.047167188
2017,6,8,0,0,8.6.2017,0.85226741,0.671674978,1.032859842
2017,6,9,0,0,9.6.2017,0.492455207,0.396495572,0.588414841
2017,6,10,0,0,10.6.2017,0.975755586,0.79224932,1.159261852
2017,6,11,0,0,11.6.2017,0.573222194,0.46766079,0.678783598
2017,6,12,0,0,12.6.2017,0.457385303,0.365594679,0.549175928
2017,6,13,0,0,13.6.2017,1.12850432,0.873559675,1.383448964
2017,6,14,0,0,14.6.2017,1.230977936,0.985251829,1.476704043
2017,6,15,0,0,15.6.2017,1.128070688,0.898404525,1.357736851
2017,6,16,0,0,16.6.2017,1.110329846,0.881897144,1.338762549
2017,6,17,0,0,17.6.2017,0.669097224,0.538933914,0.799260533
2017,6,18,0,0,18.6.2017,0.90483871,0.709567423,1.100109998
2017,6,19,0,0,19.6.2017,1.005657544,0.781694997,1.229620092
2017,6,20,0,0,20.6.2017,0.810335826,0.633113852,0.987557801
2017,6,21,0,0,21.6.2017,0.477488989,0.375248847,0.579729132
2017,6,22,0,0,22.6.2017,0.517849676,0.405447292,0.63025206
2017,6,23,0,0,23.6.2017,0.894293109,0.704236382,1.084349835
2017,6,24,0,0,24.6.2017,0.292230192,0.235354258,0.349106127
2017,6,25,0,0,25.6.2017,0.1417168,0.093492095,0.189941505
2017,6,26,0,0,26.6.2017,0.279371907,0.224978332,0.333765482
2017,6,27,0,0,27.6.2017,0.580600717,0.458147079,0.703054354
2017,6,28,0,0,28.6.2017,0.818344056,0.641952746,0.994735365
2017,6,29,0,0,29.6.2017,1.029363531,0.824604899,1.234122164
2017,6,30,0,0,30.6.2017,1.133292673,0.899369604,1.367215743
2017,7,1,0,0,1.7.2017,1.098123034,0.87716998,1.319076089
2017,7,2,0,0,2.7.2017,1.161240321,0.932388143,1.3900925
2017,7,3,0,0,3.7.2017,0.113568218,0.095466708,0.131669728
2017,7,4,0,0,4.7.2017,0.299744631,0.231180758,0.368308504
2017,7,5,0,0,5.7.2017,0.323765906,0.254652333,0.392879478
2017,7,6,0,0,6.7.2017,1.083993466,0.844655251,1.323331681
2017,7,7,0,0,7.7.2017,1.124237542,0.891354561,1.357120524
2017,7,8,0,0,8.7.2017,1.162889306,0.930153464,1.395625148
2017,7,9,0,0,9.7.2017,1.094563779,0.886699986,1.302427573
2017,7,10,0,0,10.7.2017,0.336517248,0.291701751,0.381332744
2017,7,11,0,0,11.7.2017,0.69818248,0.574139381,0.822225579
2017,7,12,0,0,12.7.2017,0.516685831,0.420428329,0.612943332
2017,7,13,0,0,13.7.2017,0.543110008,0.427209457,0.65901056
2017,7,14,0,0,14.7.2017,0.198288301,0.170151688,0.226424913
2017,7,15,0,0,15.7.2017,1.186835532,0.93503683,1.438634234
2017,7,16,0,0,16.7.2017,0.834779251,0.673505727,0.996052774
2017,7,17,0,0,17.7.2017,0.609618843,0.468134675,0.751103012
2017,7,18,0,0,18.7.2017,0.703233545,0.554736084,0.851731005
2017,7,19,0,0,19.7.2017,0.660974095,0.530012593,0.791935598
2017,7,20,0,0,20.7.2017,0.764225647,0.612469789,0.915981505
2017,7,21,0,0,21.7.2017,0.67435524,0.548279214,0.800431266
2017,7,22,0,0,22.7.2017,0.820422525,0.654944123,0.985900926
2017,7,23,0,0,23.7.2017,0.949197805,0.758521925,1.139873685
2017,7,24,0,0,24.7.2017,0.688687204,0.549145527,0.828228882
2017,7,25,0,0,25.7.2017,0.914155005,0.720652735,1.107657275
2017,7,26,0,0,26.7.2017,1.166317393,0.921603272,1.411031513
2017,7,27,0,0,27.7.2017,1.055946284,0.846213951,1.265678618
2017,7,28,0,0,28.7.2017,0.752820991,0.607032814,0.898609169
2017,7,29,0,0,29.7.2017,0.634974968,0.49936614,0.770583797
2017,7,30,0,0,30.7.2017,0.96934143,0.770419773,1.168263087
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
