date;Q_mm;;
2016-04-01;0.1520952;;
2016-04-02;0.142513326;;
2016-04-03;0.132707045;;
2016-04-04;0.142643847;;
2016-04-05;0.146307973;;
2016-04-06;0.420142608;;
2016-04-07;1.298565819;;
2016-04-08;1.098228645;;
2016-04-09;0.92748219;;
2016-04-10;0.91939094;;
2016-04-11;1.103395137;;
2016-04-12;1.144584904;;
2016-04-13;1.150662505;;
2016-04-14;0.934736513;;
2016-04-15;0.801617883;;
2016-04-16;0.706654082;;
2016-04-17;0.824489663;;
2016-04-18;1.090661412;;
2016-04-19;1.082489203;;
2016-04-20;1.087267729;;
2016-04-21;1.008558496;;
2016-04-22;1.003337205;;
2016-04-23;1.069236198;;
2016-04-24;1.050366284;;
2016-04-25;1.013861622;;
2016-04-26;1.060287328;;
2016-04-27;2.137628402;;
2016-04-28;2.392753248;;
2016-04-29;6.328752975;;
2016-04-30;4.649126371;;
2016-05-01;4.998983142;;
2016-05-02;5.421845155;;
2016-05-03;5.870568852;;
2016-05-04;6.800077224;;
2016-05-05;6.593428023;;
2016-05-06;6.006833258;;
2016-05-07;5.655256727;;
2016-05-08;4.572850088;;
2016-05-09;3.506598109;;
2016-05-10;3.129458959;;
2016-05-11;2.460575165;;
2016-05-12;2.01827477;;
2016-05-13;1.811611723;;
2016-05-14;1.50240438;;
2016-05-15;1.3211483;;
2016-05-16;1.154363121;;
2016-05-17;1.073719086;;
2016-05-18;0.965661722;;
2016-05-19;1.140146686;;
2016-05-20;1.051201898;;
2016-05-21;0.875064798;;
2016-05-22;0.783231397;;
2016-05-23;0.772567285;;
2016-05-24;1.11511384;;
2016-05-25;0.801855953;;
2016-05-26;0.596974206;;
2016-05-27;0.467023358;;
2016-05-28;0.401624151;;
2016-05-29;0.352997481;;
2016-05-30;0.308289312;;
2016-05-31;0.261469246;;
2016-06-01;0.211079403;;
2016-06-02;0.175526093;;
2016-06-03;0.145418344;;
2016-06-04;0.126347979;;
2016-06-05;0.110318729;;
2016-06-06;0.098450112;;
2016-06-07;0.080493775;;
2016-06-08;0.065836319;;
2016-06-09;0.056313817;;
2016-06-10;0.274935308;;
2016-06-11;0.210699599;;
2016-06-12;0.1220903;;
2016-06-13;0.077158371;;
2016-06-14;0.052391176;;
2016-06-15;0.04112907;;
2016-06-16;0.026420635;;
2016-06-17;0.323360161;;
2016-06-18;0.66858546;;
2016-06-19;0.60359098;;
2016-06-20;0.30204174;;
2016-06-21;0.202638628;;
2016-06-22;0.177890143;;
2016-06-23;0.100423909;;
2016-06-24;1.93540729;;
2016-06-25;2.077977819;;
2016-06-26;1.055002493;;
2016-06-27;0.69122223;;
2016-06-28;0.729900274;;
2016-06-29;0.417691185;;
2016-06-30;0.281631493;;
2016-07-01;0.221044844;;
2016-07-02;0.464986317;;
2016-07-03;1.167802749;;
2016-07-04;0.521794487;;
2016-07-05;0.282096539;;
2016-07-06;0.18640164;;
2016-07-07;0.155315258;;
2016-07-08;0.192875423;;
2016-07-09;0.302348564;;
2016-07-10;0.355866893;;
2016-07-11;0.178097352;;
2016-07-12;0.100225718;;
2016-07-13;0.071142989;;
2016-07-14;0.294847079;;
2016-07-15;0.453602567;;
2016-07-16;0.91479073;;
2016-07-17;0.492010769;;
2016-07-18;0.259401053;;
2016-07-19;0.143680084;;
2016-07-20;0.085519043;;
2016-07-21;0.049280037;;
2016-07-22;0.0279698;;
2016-07-23;0.016512625;;
2016-07-24;0.011814041;;
2016-07-25;0.00873799;;
2016-07-26;0.007147136;;
2016-07-27;0.337013775;;
2016-07-28;0.146239028;;
2016-07-29;0.076829057;;
2016-07-30;0.057022953;;
2016-07-31;0.204093519;;
2016-08-01;0.127990678;;
2016-08-02;0.053819218;;
2016-08-03;0.032319821;;
2016-08-04;0.015564929;;
2016-08-05;0.010971567;;
2016-08-06;0.05496509;;
2016-08-07;0.048044662;;
2016-08-08;0.027392444;;
2016-08-09;1.45981381;;
2016-08-10;1.977522885;;
2016-08-11;1.463921995;;
2016-08-12;0.602983927;;
2016-08-13;1.462939108;;
2016-08-14;0.991711777;;
2016-08-15;0.532599859;;
2016-08-16;0.312992891;;
2016-08-17;0.212768411;;
2016-08-18;0.201642552;;
2016-08-19;0.199520416;;
2016-08-20;0.227573827;;
2016-08-21;0.198058311;;
2016-08-22;0.5862303;;
2016-08-23;0.706732127;;
2016-08-24;0.331426051;;
2016-08-25;0.330480767;;
2016-08-26;0.258144426;;
2016-08-27;1.030919813;;
2016-08-28;0.539691826;;
2016-08-29;0.338493388;;
2016-08-30;0.251194394;;
2016-08-31;0.199890656;;
2016-09-01;0.183989532;;
2016-09-02;0.238991973;;
2016-09-03;0.177223353;;
2016-09-04;0.132897157;;
2016-09-05;0.10728063;;
2016-09-06;0.093857161;;
2016-09-07;0.10930623;;
2016-09-08;0.067053372;;
2016-09-09;0.060066641;;
2016-09-10;0.079103293;;
2016-09-11;0.100890394;;
2016-09-12;0.090816995;;
2016-09-13;0.050913663;;
2016-09-14;0.036830608;;
2016-09-15;0.030854305;;
2016-09-16;0.025615383;;
2016-09-17;0.02469344;;
2016-09-18;0.024565742;;
2016-09-19;0.019911042;;
2016-09-20;0.01757916;;
2016-09-21;0.021258735;;
2016-09-22;0.030171577;;
2016-09-23;0.030207398;;
2016-09-24;0.025002519;;
2016-09-25;0.025488792;;
2016-09-26;0.027777748;;
2016-09-27;0.031107539;;
2016-09-28;0.18728635;;
2016-09-29;0.425787973;;
2016-09-30;0.71027884;;
2016-10-01;0.309534826;;
2016-10-02;0.170590547;;
2016-10-03;0.116295813;;
2016-10-04;0.0912064;;
2016-10-05;0.078424981;;
2016-10-06;0.070694321;;
2016-10-07;0.06570675;;
2016-10-08;0.058587174;;
2016-10-09;0.054843605;;
2016-10-10;0.051192254;;
2016-10-11;0.051132249;;
2016-10-12;0.051897688;;
2016-10-13;0.052038561;;
2016-10-14;0.049778239;;
2016-10-15;0.048214515;;
2016-10-16;0.050891132;;
2016-10-17;0.049914358;;
2016-10-18;0.04693181;;
2016-10-19;0.04399568;;
2016-10-20;0.043857371;;
2016-10-21;0.044134409;;
2016-10-22;0.04417585;;
2016-10-23;0.045166183;;
2016-10-24;0.045380724;;
2016-10-25;0.056863206;;
2016-10-26;0.057327491;;
2016-10-27;0.054086082;;
2016-10-28;0.055168569;;
2016-10-29;0.048145989;;
2016-10-30;0.042302187;;
2016-10-31;0.038194478;;
